Class,Country,Time,Link,Road Name,Road Short Name
,,,,,KOT
,,,,,KOTX
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Louisiana_and_Arkansas_Railway,Louisiana and Arkansas Railway,L&A
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Lehigh_and_Hudson_River_Railway,Lehigh and Hudson River Railway,L&HR
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Litchfield_and_Madison_Railway,Litchfield and Madison Railway,L&M
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Louisville_and_Nashville_Railroad,Louisville and Nashville Railroad,L&N
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Lehigh_and_New_England_Railroad,Lehigh and New England Railroad,L&NE
1,USA,pre–1956,https://en.wikipedia.org/wiki/Los_Angeles_and_Salt_Lake_Railroad,Los Angeles and Salt Lake Railroad,LA&SL
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Louisiana,_Arkansas_and_Texas_Railway","Louisiana, Arkansas and Texas Railway",LA&T
1,USA,pre–1956,https://en.wikipedia.org/wiki/Lake_Erie_and_Western_Railroad,Lake Erie and Western Railroad,LE&W
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Louisville,_Henderson_and_St._Louis_Railway","Louisville, Henderson and St. Louis Railway",LH&STL
2,USA,1956-present,https://en.wikipedia.org/wiki/Lehigh_and_Hudson_River_Railway,Lehigh & Hudson River Railway,LHR
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Long_Island_Rail_Road,Long Island Rail Road,LI
,,,,Louisville and Nashville Railroad,LN 
2,USA,1956-present,https://en.wikipedia.org/wiki/Lehigh_and_New_England_Railroad,Lehigh & New England,LNE
1,USA,pre–1956,https://en.wikipedia.org/wiki/Louisiana_Railway_and_Navigation_Company,Louisiana Railway and Navigation Company,LR&N
1,USA,pre–1956,https://en.wikipedia.org/wiki/Louisiana_Railway_and_Navigation_Company_of_Texas,Louisiana Railway and Navigation Company of Texas,LR&NTX
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Lake_Superior_and_Ishpeming_Railroad,Lake Superior and Ishpeming Railroad,LS&I
1,USA,pre–1956,https://en.wikipedia.org/wiki/Lake_Shore_and_Michigan_Southern_Railway,Lake Shore and Michigan Southern Railway,LS&MS
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Lehigh_Valley_Railroad,Lehigh Valley Railroad,LV
2,USA,1956-present,https://en.wikipedia.org/wiki/Las_Vegas_and_Tonopah_Railroad,Las Vegas and Tonopah Railroad,LV&T
1,USA,pre–1956,https://en.wikipedia.org/wiki/Louisiana_Western_Railroad,Louisiana Western Railroad,LW
1,USA,pre–1956,https://en.wikipedia.org/wiki/Missouri_and_Arkansas_Railway,Missouri and Arkansas Railway,M&A
1,USA,pre–1956,https://en.wikipedia.org/wiki/Minnesota_and_International_Railway,Minnesota and International Railway,M&I
1,USA,pre–1956,https://en.wikipedia.org/wiki/Missouri_and_North_Arkansas_Railroad,Missouri and North Arkansas Railroad,M&NA
1,USA,pre–1956,https://en.wikipedia.org/wiki/Mobile_and_Ohio_Railroad,Mobile and Ohio Railroad,M&O
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Minneapolis_and_St._Louis_Railway,Minneapolis and St. Louis Railway,M&STL
2,USA,1956-present,https://en.wikipedia.org/wiki/Magma_Arizona_Railroad,Magma Arizona Railroad,MAA
1,USA,pre–1956,https://en.wikipedia.org/wiki/Michigan_Central_Railroad,Michigan Central Railroad,MC
1,USA,pre–1956,"https://en.wikipedia.org/wiki/Maryland,_Delaware_and_Virginia_Railway","Maryland, Delaware and Virginia Railway",MD&V
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Maine_Central_Railroad_Company,Maine Central Railroad Company,MEC
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Monongahela_Railway,Monongahela Railway,MGA
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Missouri%E2%80%93Illinois_Railroad,Missouri–Illinois Railroad,MI
,,,,"Chicago, Milwaukee, St. Paul and Pacific Railroad",MILW
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Michigan_Interstate_Railway,Michigan Interstate Railway,MIS
1,USA,Former (1956–present),https://en.wikipedia.org/wiki/Missouri%E2%80%93Kansas%E2%80%93Texas_Railroad,"Missouri, Kansas and Texas Railway",MKT
1,USA,pre–1956,https://en.wikipedia.org/wiki/Missouri%E2%80%93Kansas%E2%80%93Texas_Railroad_of_Texas,"Missouri, Kansas and Texas Railway of Texas",MKTTX
1,USA,pre–1956,https://en.wikipedia.org/wiki/Morgan%27s_Louisiana_and_Texas_Railroad_and_Steamship_Company,Morgan's Louisiana and Texas Railroad and Steamship Company,ML&T
